target_mlux,formation_name,current_ma,pwm_percent,estimated_mlux,error_mlux,lower_measured_mlux,lower_pwm_percent,upper_measured_mlux,upper_pwm_percent,method
14925,formation_8_highest_light,9,29,14926.2,1.2,12851.0,25,15445.0,30,interpolated
14950,formation_8_highest_light,9,29,14926.2,23.8,12851.0,25,15445.0,30,interpolated
14975,headlight_all_leds,5,32,14995.6,20.6,14066.0,30,16390.0,35,interpolated
15000,headlight_all_leds,5,32,14995.6,4.4,14066.0,30,16390.0,35,interpolated
15025,formation_8_highest_light,31,10,15017.0,8.0,15017.0,10,23917.0,15,interpolated
15050,formation_8_highest_light,17,16,15073.4,23.4,14115.0,15,18907.0,20,interpolated
15075,formation_8_highest_light,15,18,15076.2,1.2,12525.0,15,16777.0,20,interpolated
15100,formation_8_highest_light,11,24,15099.2,0.8,12560.0,20,15734.0,25,interpolated
15125,formation_8_highest_light,4,68,15117.6,7.4,14445.0,65,15566.0,70,interpolated
15150,formation_8_highest_light,5,54,15146.2,3.8,14023.0,50,15427.0,55,interpolated
15175,formation_8_highest_light,27,11,15175.6,0.6,13620.0,10,21398.0,15,interpolated
15200,headlight_all_leds,4,41,15189.0,11.0,14820.0,40,16665.0,45,interpolated
15225,headlight_all_leds,15,11,15232.4,7.4,13780.0,10,21042.0,15,interpolated
15250,formation_8_highest_light,6,45,15250.0,0.0,13546.0,40,15250.0,45,interpolated
15275,headlight_all_leds,7,23,15279.0,4.0,13281.0,20,16611.0,25,interpolated
15300,headlight_all_leds,8,20,15301.0,1.0,11421.0,15,15301.0,20,interpolated
15325,formation_8_highest_light,22,13,15314.2,10.8,11455.0,10,17887.0,15,interpolated
15350,formation_8_highest_light,32,10,15349.0,1.0,15349.0,10,24516.0,15,interpolated
15375,formation_8_highest_light,32,10,15349.0,26.0,15349.0,10,24516.0,15,interpolated
15400,formation_8_highest_light,5,55,15427.0,27.0,14023.0,50,15427.0,55,interpolated
15425,formation_8_highest_light,5,55,15427.0,2.0,14023.0,50,15427.0,55,interpolated
15450,formation_8_highest_light,10,27,15453.0,3.0,14305.0,25,17175.0,30,interpolated
15475,headlight_all_leds,9,18,15479.8,4.8,12865.0,15,17223.0,20,interpolated
15500,formation_8_highest_light,7,39,15484.0,16.0,13884.0,35,15884.0,40,interpolated
15525,formation_8_highest_light,8,34,15539.8,14.8,13711.0,30,15997.0,35,interpolated
15550,formation_8_highest_light,28,11,15553.6,3.6,13943.0,10,21996.0,15,interpolated
15575,headlight_all_leds,14,12,15583.0,8.0,12883.0,10,19633.0,15,interpolated
15600,formation_8_highest_light,6,46,15589.4,10.6,15250.0,45,16947.0,50,interpolated
15625,formation_8_highest_light,33,10,15623.0,2.0,15623.0,10,25020.0,15,interpolated
15650,formation_8_highest_light,19,15,15655.0,5.0,10107.0,10,15655.0,15,interpolated
15675,formation_8_highest_light,19,15,15655.0,20.0,15655.0,15,21016.0,20,interpolated
15700,formation_8_highest_light,25,12,15699.8,0.2,12817.0,10,20024.0,15,interpolated
15725,formation_8_highest_light,11,25,15734.0,9.0,12560.0,20,15734.0,25,interpolated
15750,headlight_all_leds,11,15,15754.0,4.0,10308.0,10,15754.0,15,interpolated
15775,formation_8_highest_light,12,23,15775.6,0.6,13708.0,20,17154.0,25,interpolated
15800,formation_8_highest_light,4,71,15788.8,11.2,15566.0,70,16680.0,75,interpolated
15825,headlight_all_leds,13,13,15819.2,5.8,12059.0,10,18326.0,15,interpolated
15850,headlight_all_leds,6,28,15867.6,17.6,14169.0,25,17000.0,30,interpolated
15875,headlight_all_leds,6,28,15867.6,7.4,14169.0,25,17000.0,30,interpolated
15900,formation_8_highest_light,7,40,15884.0,16.0,15884.0,40,17857.0,45,interpolated
15925,headlight_all_leds,5,34,15925.2,0.2,14066.0,30,16390.0,35,interpolated
15950,formation_8_highest_light,21,14,15954.6,4.6,11037.0,10,17184.0,15,interpolated
15975,formation_8_highest_light,29,11,15982.4,7.4,14315.0,10,22652.0,15,interpolated
16000,formation_8_highest_light,8,35,15997.0,3.0,15997.0,35,18277.0,40,interpolated
16025,formation_8_highest_light,10,28,16027.0,2.0,14305.0,25,17175.0,30,interpolated
16050,headlight_all_leds,8,21,16065.8,15.8,15301.0,20,19125.0,25,interpolated
16075,formation_8_highest_light,16,18,16068.6,6.4,13359.0,15,17875.0,20,interpolated
16100,formation_8_highest_light,16,18,16068.6,31.4,13359.0,15,17875.0,20,interpolated
16125,formation_8_highest_light,16,18,16068.6,56.4,13359.0,15,17875.0,20,interpolated
16150,headlight_all_leds,16,11,16204.2,54.2,14643.0,10,22449.0,15,interpolated
16175,headlight_all_leds,16,11,16204.2,29.2,14643.0,10,22449.0,15,interpolated
16200,headlight_all_leds,16,11,16204.2,4.2,14643.0,10,22449.0,15,interpolated
16225,formation_8_highest_light,26,12,16229.6,4.6,13234.0,10,20723.0,15,interpolated
16250,headlight_all_leds,10,17,16257.6,7.6,14324.0,15,19158.0,20,interpolated
16275,formation_8_highest_light,7,41,16278.6,3.6,15884.0,40,17857.0,45,interpolated
16300,headlight_all_leds,4,44,16296.0,4.0,14820.0,40,16665.0,45,interpolated
16325,headlight_all_leds,9,19,16351.4,26.4,12865.0,15,17223.0,20,interpolated
16350,headlight_all_leds,9,19,16351.4,1.4,12865.0,15,17223.0,20,interpolated
16375,formation_8_highest_light,11,26,16360.6,14.4,15734.0,25,18867.0,30,interpolated
16400,formation_8_highest_light,30,11,16398.0,2.0,14674.0,10,23294.0,15,interpolated
16425,headlight_all_leds,6,29,16433.8,8.8,14169.0,25,17000.0,30,interpolated
16450,formation_8_highest_light,8,36,16453.0,3.0,15997.0,35,18277.0,40,interpolated
16475,formation_8_highest_light,9,32,16467.0,8.0,15445.0,30,18000.0,35,interpolated
16500,formation_8_highest_light,24,13,16498.2,1.8,12291.0,10,19303.0,15,interpolated
16525,formation_8_highest_light,36,10,16517.0,8.0,16517.0,10,26651.0,15,interpolated
16550,formation_8_highest_light,5,59,16552.6,2.6,15427.0,55,16834.0,60,interpolated
16575,formation_8_highest_light,5,59,16552.6,22.4,15427.0,55,16834.0,60,interpolated
16600,formation_8_highest_light,22,14,16600.6,0.6,11455.0,10,17887.0,15,interpolated
16625,headlight_all_leds,7,25,16611.0,14.0,16611.0,25,19919.0,30,interpolated
16650,headlight_all_leds,4,45,16665.0,15.0,14820.0,40,16665.0,45,interpolated
16675,formation_8_highest_light,7,42,16673.2,1.8,15884.0,40,17857.0,45,interpolated
16700,headlight_all_leds,15,12,16684.8,15.2,13780.0,10,21042.0,15,interpolated
16725,formation_8_highest_light,19,16,16727.2,2.2,15655.0,15,21016.0,20,interpolated
16750,formation_8_highest_light,13,23,16754.6,4.6,14588.0,20,18199.0,25,interpolated
16775,formation_8_highest_light,15,20,16777.0,2.0,12525.0,15,16777.0,20,interpolated
